t,water
1350,2212000
1351,2212000
1352,2212000
1353,2212000
1354,2212000
1355,2213000
1356,2213000
1357,2212000
1358,2213000
1359,2213000
1360,2214000
1361,2212000
1362,2213000
1363,2213000
1364,2214000
1365,2213000
1366,2213000
1367,2214000
1368,2214000
1369,2214000
1370,2214000
1371,2214000
1372,2215000
1373,2215000
1374,2215000
1375,2215000
1376,2215000
1377,2216000
1378,2215000
1379,2215000
1380,2216000
1381,2217000
1382,2216000
1383,2217000
1384,2217000
1385,2218000
1386,2217000
1387,2217000
1388,2217000
1389,2218000
1390,2218000
1391,2217000
1392,2218000
1393,2219000
1394,2218000
1395,2218000
1396,2219000
1397,2219000
1398,2220000
1399,2219000
1400,2219000
1401,2220000
1402,2220000
1403,2220000
1404,2220000
1405,2221000
1406,2221000
1407,2221000
1408,2221000
1409,2221000
1410,2222000
1411,2222000
1412,2221000
1413,2221000
1414,2222000
1415,2222000
1416,2222000
1417,2226000
1418,2226000
1419,2226000
1420,2227000
1421,2226000
1422,2226000
1423,2226000
1424,2227000
1425,2227000
1426,2227000
1427,2227000
1428,2227000
1429,2227000
1430,2226000
1431,2226000
1432,2226000
1433,2227000
1434,2227000
1435,2225000
1436,2226000
1437,2226000
1438,2225000
1439,2225000
1440,2225000
1441,2226000
1442,2226000
1443,2225000
1444,2226000
1445,2226000
1446,2226000
1447,2225000
1448,2225000
1449,2225000
1450,2226000
1451,2226000
1452,2225000
1453,2225000
1454,2224000
1455,2224000
1456,2223000
1457,2223000
1458,2223000
1459,2223000
1460,2222000
1461,2223000
1462,2223000
1463,2223000
1464,2221000
1465,2221000
1466,2221000
1467,2222000
1468,2221000
1469,2220000
1470,2221000
1471,2221000
1472,2221000
1473,2220000
1474,2220000
1475,2220000
1476,2220000
1477,2219000
1478,2219000
1479,2220000
1480,2220000
1481,2219000
1482,2219000
1483,2219000
1484,2219000
1485,2218000
1486,2218000
1487,2219000
1488,2219000
1489,2219000
1490,2218000
1491,2218000
1492,2217000
1493,2219000
1494,2218000
1495,2218000
1496,2218000
1497,2218000
1498,2218000
1499,2218000
1500,2218000
1501,2218000
1502,2217000
1503,2216000
1504,2216000
1505,2216000
1506,2218000
1507,2216000
1508,2215000
1509,2216000
1510,2216000
1511,2215000
1512,2215000
1513,2216000
1514,2216000
1515,2216000
1516,2215000
1517,2215000
1518,2215000
1519,2215000
1520,2214000
1521,2215000
1522,2215000
1523,2215000
1524,2213000
1525,2214000
1526,2214000
1527,2214000
1528,2213000
1529,2213000
1530,2213000
1531,2213000
1532,2211000
1533,2211000
1534,2211000
1535,2211000
1536,2210000
1537,2210000
